id,p,one_memory,loops,state_number,action_number,beta,k,deficit,,costo,Differenza % costo,,kw,Differenza % kw,,stato_finale_M,Differenza % stato_finale_M,,prezzo_M_carico,Differenza % prezzo_M_carico,,punteggio
Naif_Battery.2,,,,,,,,0.5/16,,82.45824359999992,16.539819605084972,,2637.4399999999705,5.840687744551914,,15.328914285714289,2.9590936057532247,,0.03126450027299231,11.362797374206622,,16.891897480412574
Naif_Battery.1,,,,,,,,0.25/16,,85.30059989999994,13.66292629293315,,2719.1199999999694,2.92462799531593,,15.562285714285718,1.4817172871840114,,0.03137066400158908,11.061815243004261,,15.985415490406204
Naif_Battery.0,,,,,,,,0/16,,88.1689239999999,10.759749650239314,,2801.039999999965,0,,15.79634285714286,0,,0.0314772098934685,10.7597496502393,,15.063649510335026
CL_Battery.0,0.3,False,1000,50,25,1,,,,92.12380449999999,6.756814036287679,,2653.030000000001,5.284108759602361,,15.37345714285714,2.677111519483759,,0.03472399652472831,1.5548660920557182,,3.429810006114542
CL_Battery.4,0.3,False,1000,50,25,20,,,,92.85719219999989,6.01451506084112,,2674.8800000000024,4.50404135606648,,15.43588571428571,2.2819025018449537,,0.03471452633389154,1.581714793195161,,3.281577740451966
CL_Battery.3,0.3,False,1000,50,25,10,,,,93.36779010000008,5.497712968257119,,2690.009999999997,3.9638848427716056,,15.479114285714285,2.00824060542044,,0.034709086620495905,1.5971367885658054,,3.174757195318433
CL_Battery.2,0.3,False,1000,50,25,5,,,,93.64777019999995,5.21433087529951,,2692.9800000000023,3.8578527975310806,,15.487599999999995,1.95452111881238,,0.03477477374507047,1.4109088648829413,,2.893955643224677
CL_Battery.1,0.3,False,1000,50,25,2.5,,,,93.18891719999989,5.678759323964087,,2676.570000000005,4.443706623252851,,15.440714285714279,2.251334847849108,,0.034816544009683925,1.2924870325827982,,2.871360008252232
SL_Battery.2,0.3,False,1000,1,2,,100,,,97.39492560000008,1.4216443954750702,,2801.0399999999654,0,,15.79634285714286,0,,0.03477098706194888,1.421644395475056,,1.9903021536650924
SL_Battery.3,0.3,False,1000,1,2,,150,,,97.54919360000004,1.2655019099327376,,2801.0399999999654,0,,15.79634285714286,0,,0.03482606231971026,1.2655019099327376,,1.7717026739058368
SL_Battery.4,0.3,False,1000,1,2,,200,,,97.69260080000012,1.1203521922162452,,2801.0399999999654,0,,15.79634285714286,0,,0.034877260160512284,1.1203521922162594,,1.5684930691027572
SL_Battery.1,0.3,False,1000,1,2,,75,,,97.92096080000017,0.8892174267531203,,2801.0399999999654,0,,15.79634285714286,0,,0.03495878702196376,0.8892174267531345,,1.2449043974543825
SL_Battery.0,0.3,False,1000,1,2,,50,,,98.10263680000016,0.7053339110311754,,2801.0399999999654,0,,15.79634285714286,0,,0.035023647216748555,0.7053339110311754,,0.9874674754436497
NSL_Battery.0,,,,,,,,,,98.79950320000009,0,,2801.0399999999654,0,,15.79634285714286,0,,0.03527243566675282,0,,0
